E:\self-driving-car-sim\IMG\center_2018_09_27_21_48_28_954.jpg,E:\self-driving-car-sim\IMG\left_2018_09_27_21_48_28_954.jpg,E:\self-driving-car-sim\IMG\right_2018_09_27_21_48_28_954.jpg,0,0,0,1.218441E-05
E:\self-driving-car-sim\IMG\center_2018_09_27_21_48_28_984.jpg,E:\self-driving-car-sim\IMG\left_2018_09_27_21_48_28_984.jpg,E:\self-driving-car-sim\IMG\right_2018_09_27_21_48_28_984.jpg,0,0,0,3.074945E-06
E:\self-driving-car-sim\IMG\center_2018_09_27_21_48_29_079.jpg,E:\self-driving-car-sim\IMG\left_2018_09_27_21_48_29_079.jpg,E:\self-driving-car-sim\IMG\right_2018_09_27_21_48_29_079.jpg,0,0,0,8.765182E-06
E:\self-driving-car-sim\IMG\center_2018_09_27_21_48_29_160.jpg,E:\self-driving-car-sim\IMG\left_2018_09_27_21_48_29_160.jpg,E:\self-driving-car-sim\IMG\right_2018_09_27_21_48_29_160.jpg,0,0,0,9.71794E-06
E:\self-driving-car-sim\IMG\center_2018_09_27_21_48_29_262.jpg,E:\self-driving-car-sim\IMG\left_2018_09_27_21_48_29_262.jpg,E:\self-driving-car-sim\IMG\right_2018_09_27_21_48_29_262.jpg,0,0,0,1.284428E-05
E:\self-driving-car-sim\IMG\center_2018_09_27_21_48_29_385.jpg,E:\self-driving-car-sim\IMG\left_2018_09_27_21_48_29_385.jpg,E:\self-driving-car-sim\IMG\right_2018_09_27_21_48_29_385.jpg,0,0,0,1.533286E-05
E:\self-driving-car-sim\IMG\center_2018_09_27_21_48_29_470.jpg,E:\self-driving-car-sim\IMG\left_2018_09_27_21_48_29_470.jpg,E:\self-driving-car-sim\IMG\right_2018_09_27_21_48_29_470.jpg,0,0,0,1.630438E-05
E:\self-driving-car-sim\IMG\center_2018_09_27_21_48_29_585.jpg,E:\self-driving-car-sim\IMG\left_2018_09_27_21_48_29_585.jpg,E:\self-driving-car-sim\IMG\right_2018_09_27_21_48_29_585.jpg,0,0,0,4.029117E-06
E:\self-driving-car-sim\IMG\center_2018_09_27_21_48_29_671.jpg,E:\self-driving-car-sim\IMG\left_2018_09_27_21_48_29_671.jpg,E:\self-driving-car-sim\IMG\right_2018_09_27_21_48_29_671.jpg,0,0,0,6.222742E-06
E:\self-driving-car-sim\IMG\center_2018_09_27_21_48_29_773.jpg,E:\self-driving-car-sim\IMG\left_2018_09_27_21_48_29_773.jpg,E:\self-driving-car-sim\IMG\right_2018_09_27_21_48_29_773.jpg,0,0,0,1.274476E-05
E:\self-driving-car-sim\IMG\center_2018_09_27_21_48_29_875.jpg,E:\self-driving-car-sim\IMG\left_2018_09_27_21_48_29_875.jpg,E:\self-driving-car-sim\IMG\right_2018_09_27_21_48_29_875.jpg,0,0,0,3.100163E-07
E:\self-driving-car-sim\IMG\center_2018_09_27_21_48_29_981.jpg,E:\self-driving-car-sim\IMG\left_2018_09_27_21_48_29_981.jpg,E:\self-driving-car-sim\IMG\right_2018_09_27_21_48_29_981.jpg,0,0,0,6.331391E-06
E:\self-driving-car-sim\IMG\center_2018_09_27_21_48_30_088.jpg,E:\self-driving-car-sim\IMG\left_2018_09_27_21_48_30_088.jpg,E:\self-driving-car-sim\IMG\right_2018_09_27_21_48_30_088.jpg,0,0,0,6.892256E-06
E:\self-driving-car-sim\IMG\center_2018_09_27_21_48_30_181.jpg,E:\self-driving-car-sim\IMG\left_2018_09_27_21_48_30_181.jpg,E:\self-driving-car-sim\IMG\right_2018_09_27_21_48_30_181.jpg,0,0,0,2.587731E-05
E:\self-driving-car-sim\IMG\center_2018_09_27_21_48_30_249.jpg,E:\self-driving-car-sim\IMG\left_2018_09_27_21_48_30_249.jpg,E:\self-driving-car-sim\IMG\right_2018_09_27_21_48_30_249.jpg,0,0,0,1.200615E-05
E:\self-driving-car-sim\IMG\center_2018_09_27_21_48_30_334.jpg,E:\self-driving-car-sim\IMG\left_2018_09_27_21_48_30_334.jpg,E:\self-driving-car-sim\IMG\right_2018_09_27_21_48_30_334.jpg,0,0,0,8.474471E-06
